Plant ID,Name,Total Leaves,Avg Days Between Leaves,Days Since Last Leaf
13,Commutatum_SilverBay,1,,124
18,Black_Velvet,1,,118
19,Black_Velvet,0,,
20,Annuum,0,,
26,Reflector_Cheetah,0,,
27,Reflector_Cheetah,0,,
23,Chamaecereus,1,,125
15,Elastica_Ruby,1,,113
22,Leuconeura,1,,118
7,Obliqua,0,,
8,Deliciousa,0,,
9,Adansonii,0,,
10,Adansonii,0,,
11,Adansonii,0,,
12,Adansonii,0,,
28,Dwarf_Cavendish,0,,
29,Dwarf_Cavendish,1,,125
32,Amabilis,0,,
1,Pink_Princess,2,,125
2,Joepii,2,22,103
3,Hederaceum_Brasil,0,,
4,Mayoi,1,,125
5,Mayoi,1,,119
6,Billietiae,2,23,96
14,Caramel_Marble,1,,118
33,Florida_Bronze,0,,
34,Mayoi,0,,
30,Peperomioides,0,,
21,Rosmarinus,0,,
31,Arboricola,0,,
25,Wallisii_Diamond,0,,
16,Reginae,0,,
17,Reginae,0,,
24,Weeskindje,0,,
